id,80247739
syncStatus,Exported
summary,null
referenceNumber,80247739
invoiceDate,2023-07-31T00:00:00Z
dueDate,2023-07-31T00:00:00Z
subTotal,89.00
salesTax,0.00
salesTaxCode,null
salesTaxCodeid,1910890
salesTaxCodename,No Tax
salesTaxCodetaxRate,0
total,89.00
balance,0.00
invoiceType,null
invoiceTypeid,74
invoiceTypename,Service
customer,null
customerid,32218751
customername,SHEPPARD PROPERTY MGT-MAIN OFFICE
customerAddress,null
customerAddressstreet,P.O. BOX 329
customerAddressunit,null
customerAddresscity,GROSSE ILE, MI
customerAddressstate,AB
customerAddresszip,48138
customerAddresscountry,USA
location,null
locationid,32229329
locationname,TRINITY REALITY
locationAddress,null
locationAddressstreet,198 Elm Street
locationAddressunit,null
locationAddresscity,Trenton
locationAddressstate,MI
locationAddresszip,48183
locationAddresscountry,USA
businessUnit,null
businessUnitid,1034880
businessUnitname,50EXP-Resid Service
termName,Due Upon Receipt
createdBy,pgravlin@expertheatcool.com
batch,null
batchid,80252878
batchnumber,5276
batchname,INV ADJ 7-31-23 PG
depositedOn,2023-08-01T17:45:32.5188059Z
createdOn,2023-08-01T17:41:52.7375823Z
modifiedOn,2023-08-01T18:00:50.9856318Z
adjustmentToId,72469897
job,null
jobid,72469894
jobnumber,9459
jobtype,NO HEATING
projectId,72606087
royalty,null
royaltystatus,Pending
royaltydate,null
royaltysentOn,null
royaltymemo,null
employeeInfo,null
employeeInfoid,3585
employeeInfoname,pgravlin@expertheatcool.com
employeeInfomodifiedOn,2023-08-31T06:52:18.8799445Z
commissionEligibilityDate,null
customFields,null
