id,80259465
syncStatus,Exported
referenceNumber,1164
date,2023-08-01T00:00:00Z
type,Check
typeId,60
total,8741.50
unappliedAmount,0.00
memo,
customer,null
customerid,68880401
customername,LASALLE TOWNHOMES COOPERATIVE
batch,null
batchid,80208977
batchnumber,5240
batchname,PMT CKS 07/31/23 CN
createdBy,cnewman8
generalLedgerAccount,null
generalLedgerAccountid,0
generalLedgerAccountname,Undeposited Funds
generalLedgerAccountnumber,10900
generalLedgerAccounttype,Other Current Asset
generalLedgerAccountdetailType,Asset
appliedTo,null
appliedToappliedTo0appliedId,80259466
appliedToappliedTo0appliedTo,68941086
appliedToappliedTo0appliedAmount,114.00
appliedToappliedTo0appliedOn,2023-08-01T16:27:26.5801865Z
appliedToappliedTo0appliedBy,cnewman8
appliedToappliedTo0appliedToReferenceNumber,6892
appliedToappliedTo1appliedId,80259467
appliedToappliedTo1appliedTo,68931489
appliedToappliedTo1appliedAmount,89.00
appliedToappliedTo1appliedOn,2023-08-01T16:27:26.6164462Z
appliedToappliedTo1appliedBy,cnewman8
appliedToappliedTo1appliedToReferenceNumber,6890
appliedToappliedTo2appliedId,80259468
appliedToappliedTo2appliedTo,79152297
appliedToappliedTo2appliedAmount,89.00
appliedToappliedTo2appliedOn,2023-08-01T16:27:26.650299Z
appliedToappliedTo2appliedBy,cnewman8
appliedToappliedTo2appliedToReferenceNumber,15701
appliedToappliedTo3appliedId,80259469
appliedToappliedTo3appliedTo,68948372
appliedToappliedTo3appliedAmount,89.00
appliedToappliedTo3appliedOn,2023-08-01T16:27:26.6851902Z
appliedToappliedTo3appliedBy,cnewman8
appliedToappliedTo3appliedToReferenceNumber,6887
appliedToappliedTo4appliedId,80259470
appliedToappliedTo4appliedTo,79704086
appliedToappliedTo4appliedAmount,139.00
appliedToappliedTo4appliedOn,2023-08-01T16:27:26.7247136Z
appliedToappliedTo4appliedBy,cnewman8
appliedToappliedTo4appliedToReferenceNumber,17056
appliedToappliedTo5appliedId,80259471
appliedToappliedTo5appliedTo,68968841
appliedToappliedTo5appliedAmount,89.00
appliedToappliedTo5appliedOn,2023-08-01T16:27:26.7678413Z
appliedToappliedTo5appliedBy,cnewman8
appliedToappliedTo5appliedToReferenceNumber,6928
appliedToappliedTo6appliedId,80259472
appliedToappliedTo6appliedTo,68949274
appliedToappliedTo6appliedAmount,89.00
appliedToappliedTo6appliedOn,2023-08-01T16:27:26.7966722Z
appliedToappliedTo6appliedBy,cnewman8
appliedToappliedTo6appliedToReferenceNumber,6901
appliedToappliedTo7appliedId,80259473
appliedToappliedTo7appliedTo,78649105
appliedToappliedTo7appliedAmount,89.00
appliedToappliedTo7appliedOn,2023-08-01T16:27:26.8433095Z
appliedToappliedTo7appliedBy,cnewman8
appliedToappliedTo7appliedToReferenceNumber,14805
appliedToappliedTo8appliedId,80259474
appliedToappliedTo8appliedTo,79715524
appliedToappliedTo8appliedAmount,311.50
appliedToappliedTo8appliedOn,2023-08-01T16:27:26.8972579Z
appliedToappliedTo8appliedBy,cnewman8
appliedToappliedTo8appliedToReferenceNumber,17095
appliedToappliedTo9appliedId,80259475
appliedToappliedTo9appliedTo,77113510
appliedToappliedTo9appliedAmount,4400.00
appliedToappliedTo9appliedOn,2023-08-01T16:27:26.9561132Z
appliedToappliedTo9appliedBy,cnewman8
appliedToappliedTo9appliedToReferenceNumber,11759
appliedToappliedTo10appliedId,80259476
appliedToappliedTo10appliedTo,68947869
appliedToappliedTo10appliedAmount,89.00
appliedToappliedTo10appliedOn,2023-08-01T16:27:27.0009526Z
appliedToappliedTo10appliedBy,cnewman8
appliedToappliedTo10appliedToReferenceNumber,6897
appliedToappliedTo11appliedId,80259477
appliedToappliedTo11appliedTo,79520193
appliedToappliedTo11appliedAmount,2023.00
appliedToappliedTo11appliedOn,2023-08-01T16:27:27.0356956Z
appliedToappliedTo11appliedBy,cnewman8
appliedToappliedTo11appliedToReferenceNumber,16602
appliedToappliedTo12appliedId,80259478
appliedToappliedTo12appliedTo,79078235
appliedToappliedTo12appliedAmount,864.00
appliedToappliedTo12appliedOn,2023-08-01T16:27:27.0690512Z
appliedToappliedTo12appliedBy,cnewman8
appliedToappliedTo12appliedToReferenceNumber,15520
appliedToappliedTo13appliedId,80259479
appliedToappliedTo13appliedTo,68968968
appliedToappliedTo13appliedAmount,89.00
appliedToappliedTo13appliedOn,2023-08-01T16:27:27.1604679Z
appliedToappliedTo13appliedBy,cnewman8
appliedToappliedTo13appliedToReferenceNumber,6927
appliedToappliedTo14appliedId,80259480
appliedToappliedTo14appliedTo,68939674
appliedToappliedTo14appliedAmount,89.00
appliedToappliedTo14appliedOn,2023-08-01T16:27:27.2127517Z
appliedToappliedTo14appliedBy,cnewman8
appliedToappliedTo14appliedToReferenceNumber,6902
appliedToappliedTo15appliedId,80259481
appliedToappliedTo15appliedTo,68946581
appliedToappliedTo15appliedAmount,89.00
appliedToappliedTo15appliedOn,2023-08-01T16:27:27.2665219Z
appliedToappliedTo15appliedBy,cnewman8
appliedToappliedTo15appliedToReferenceNumber,6884
customFields,null
authCode,
checkNumber,1164
modifiedOn,2023-08-01T20:57:10.2305759Z
createdOn,2023-08-01T16:27:26.4733924Z
