id,80666667
number,18766-001
invoiceId,80605317
jobId,80572674
projectId,76677676
status,Exported
typeId,113
vendorId,13473330
technicianId,null
shipTo,null
shipTostreet,24400 NORTHLINE RD
shipTounit,null
shipTocity,TAYLOR
shipTostate,Michigan
shipTozip,48180
shipTocountry,United States
businessUnitId,1034876
inventoryLocationId,110
batchId,null
vendorDocumentNumber,null
date,2023-08-11T00:00:00Z
requiredOn,2023-08-11T00:00:00Z
sentOn,2023-08-11T00:00:00Z
receivedOn,2023-08-11T00:00:00Z
createdOn,2023-08-11T13:28:45.4625331Z
modifiedOn,2023-08-17T14:19:58.9888225Z
total,1283.96
tax,72.68
shipping,0
summary,TYLER FOR DUCTWORK
items,null
itemsitems0id,80706354
itemsitems0skuId,1899498
itemsitems0skuName,Special Order Material
itemsitems0skuCode,SPECIAL ORDER MATERIAL
itemsitems0skuType,Material
itemsitems0description,DUCT REDUCER 24X10-20X10
itemsitems0vendorPartNumber,
itemsitems0quantity,1
itemsitems0quantityReceived,1
itemsitems0cost,46.85
itemsitems0total,46.85
itemsitems0serialNumbers,null
itemsitems0status,Received
itemsitems0chargeable,false
itemsitems1id,80706356
itemsitems1skuId,1899498
itemsitems1skuName,Special Order Material
itemsitems1skuCode,SPECIAL ORDER MATERIAL
itemsitems1skuType,Material
itemsitems1description,END CAP 20X10
itemsitems1vendorPartNumber,
itemsitems1quantity,1
itemsitems1quantityReceived,1
itemsitems1cost,7.43
itemsitems1total,7.43
itemsitems1serialNumbers,null
itemsitems1status,Received
itemsitems1chargeable,false
itemsitems2id,80706357
itemsitems2skuId,1899498
itemsitems2skuName,Special Order Material
itemsitems2skuCode,SPECIAL ORDER MATERIAL
itemsitems2skuType,Material
itemsitems2description,END CAP 24X10
itemsitems2vendorPartNumber,
itemsitems2quantity,1
itemsitems2quantityReceived,1
itemsitems2cost,8.23
itemsitems2total,8.23
itemsitems2serialNumbers,null
itemsitems2status,Received
itemsitems2chargeable,false
itemsitems3id,80706358
itemsitems3skuId,62241685
itemsitems3skuName,HVENT-2
itemsitems3skuCode,HVENT-2
itemsitems3skuType,Material
itemsitems3description,HORIZONTAL TERMINATION KIT 2" LOW PROFILE (6) DIVERSITECH
itemsitems3vendorPartNumber,HVENT-2
itemsitems3quantity,1
itemsitems3quantityReceived,1
itemsitems3cost,28.71
itemsitems3total,28.71
itemsitems3serialNumbers,null
itemsitems3status,Received
itemsitems3chargeable,false
itemsitems4id,80706372
itemsitems4skuId,72570608
itemsitems4skuName,*357-6
itemsitems4skuCode,*357-6
itemsitems4skuType,Material
itemsitems4description,ANGLE OVAL VERTICAL 6" HEATING & COOLING (30)
itemsitems4vendorPartNumber,
itemsitems4quantity,4
itemsitems4quantityReceived,4
itemsitems4cost,4.22
itemsitems4total,16.88
itemsitems4serialNumbers,null
itemsitems4status,Received
itemsitems4chargeable,false
itemsitems5id,80706361
itemsitems5skuId,72573947
itemsitems5skuName,*78-6
itemsitems5skuCode,*78-6
itemsitems5skuType,Material
itemsitems5description,DUCT FLEXIBLE INSULATED 6"x25' R8 ATCO (24)
itemsitems5vendorPartNumber,
itemsitems5quantity,1
itemsitems5quantityReceived,1
itemsitems5cost,56
itemsitems5total,56
itemsitems5serialNumbers,null
itemsitems5status,Received
itemsitems5chargeable,false
itemsitems6id,80706373
itemsitems6skuId,72574315
itemsitems6skuName,*96-6
itemsitems6skuCode,*96-6
itemsitems6skuType,Material
itemsitems6description,BOOT ROUND TO OVAL OVAL CRIMP 6" 90 HEATING & COOLING (30)
itemsitems6vendorPartNumber,
itemsitems6quantity,9
itemsitems6quantityReceived,9
itemsitems6cost,8.14
itemsitems6total,73.26
itemsitems6serialNumbers,null
itemsitems6status,Received
itemsitems6chargeable,false
itemsitems7id,80706374
itemsitems7skuId,72576255
itemsitems7skuName,*DC205-4X10X6
itemsitems7skuCode,*DC205-4X10X6
itemsitems7skuType,Material
itemsitems7description,BOOT STRAIGHT 4"x10"x6" NO FLANGES HEATING & COOLING (25)
itemsitems7vendorPartNumber,
itemsitems7quantity,2
itemsitems7quantityReceived,2
itemsitems7cost,5.2
itemsitems7total,10.4
itemsitems7serialNumbers,null
itemsitems7status,Received
itemsitems7chargeable,false
itemsitems8id,80706375
itemsitems8skuId,72576287
itemsitems8skuName,*DC213-4X10X6
itemsitems8skuCode,*DC213-4X10X6
itemsitems8skuType,Material
itemsitems8description,BOOT 90 DEGREE 4"x10"x6" HEATING & COOLING (25)
itemsitems8vendorPartNumber,
itemsitems8quantity,2
itemsitems8quantityReceived,2
itemsitems8cost,5.2
itemsitems8total,10.4
itemsitems8serialNumbers,null
itemsitems8status,Received
itemsitems8chargeable,false
itemsitems9id,80706365
itemsitems9skuId,72576336
itemsitems9skuName,*DC23-16X8
itemsitems9skuCode,*DC23-16X8
itemsitems9skuType,Material
itemsitems9description,CAP END REVERSE DUCT 16"x8" HEATING & COOLING (12)
itemsitems9vendorPartNumber,
itemsitems9quantity,1
itemsitems9quantityReceived,1
itemsitems9cost,5.72
itemsitems9total,5.72
itemsitems9serialNumbers,null
itemsitems9status,Received
itemsitems9chargeable,false
itemsitems10id,80706371
itemsitems10skuId,72576413
itemsitems10skuName,*DC610
itemsitems10skuCode,*DC610
itemsitems10skuType,Material
itemsitems10description,BOOT BASEMENT HEAD 6"x10"X6" HEATING & COOLING (20)
itemsitems10vendorPartNumber,
itemsitems10quantity,7
itemsitems10quantityReceived,7
itemsitems10cost,9.55
itemsitems10total,66.85
itemsitems10serialNumbers,null
itemsitems10status,Received
itemsitems10chargeable,false
itemsitems11id,80706377
itemsitems11skuId,72576418
itemsitems11skuName,*DC76
itemsitems11skuCode,*DC76
itemsitems11skuType,Material
itemsitems11description,TOP TAKE OFF ADJUSTABLE 7"x6" HEATING & COOLING (20)
itemsitems11vendorPartNumber,
itemsitems11quantity,20
itemsitems11quantityReceived,20
itemsitems11cost,4.58
itemsitems11total,91.6
itemsitems11serialNumbers,null
itemsitems11status,Received
itemsitems11chargeable,false
itemsitems12id,80706366
itemsitems12skuId,72576430
itemsitems12skuName,*DC87
itemsitems12skuCode,*DC87
itemsitems12skuType,Material
itemsitems12description,TAKE OFF TOP 7" TO 8" HEATING & COOLING (20)
itemsitems12vendorPartNumber,
itemsitems12quantity,2
itemsitems12quantityReceived,2
itemsitems12cost,7.85
itemsitems12total,15.7
itemsitems12serialNumbers,null
itemsitems12status,Received
itemsitems12chargeable,false
itemsitems13id,80706363
itemsitems13skuId,72576477
itemsitems13skuName,*DD48-16X8
itemsitems13skuCode,*DD48-16X8
itemsitems13skuType,Material
itemsitems13description,DUCT CROSS BROKE 16"x8"x4' HEATING & COOLING (50)
itemsitems13vendorPartNumber,
itemsitems13quantity,1
itemsitems13quantityReceived,1
itemsitems13cost,24.78
itemsitems13total,24.78
itemsitems13serialNumbers,null
itemsitems13status,Received
itemsitems13chargeable,false
itemsitems14id,80706362
itemsitems14skuId,72576541
itemsitems14skuName,*DD96-16X8
itemsitems14skuCode,*DD96-16X8
itemsitems14skuType,Material
itemsitems14description,DUCT CROSS BROKE 16"x8"x8' HEATING & COOLING (50)
itemsitems14vendorPartNumber,
itemsitems14quantity,1
itemsitems14quantityReceived,1
itemsitems14cost,43.1
itemsitems14total,43.1
itemsitems14serialNumbers,null
itemsitems14status,Received
itemsitems14chargeable,false
itemsitems15id,80706355
itemsitems15skuId,72576552
itemsitems15skuName,*DD96-20X10
itemsitems15skuCode,*DD96-20X10
itemsitems15skuType,Material
itemsitems15description,DUCT CROSS BROKE 20"x10"x8' HEATING & COOLING (40)
itemsitems15vendorPartNumber,
itemsitems15quantity,1
itemsitems15quantityReceived,1
itemsitems15cost,76.86
itemsitems15total,76.86
itemsitems15serialNumbers,null
itemsitems15status,Received
itemsitems15chargeable,false
itemsitems16id,80666669
itemsitems16skuId,72576563
itemsitems16skuName,*DD96-24X10
itemsitems16skuCode,*DD96-24X10
itemsitems16skuType,Material
itemsitems16description,DUCT CROSS BROKE 24"x10"x8' HEATING & COOLING (60)
itemsitems16vendorPartNumber,
itemsitems16quantity,3
itemsitems16quantityReceived,3
itemsitems16cost,80.54
itemsitems16total,241.62
itemsitems16serialNumbers,null
itemsitems16status,Received
itemsitems16chargeable,false
itemsitems17id,80706369
itemsitems17skuId,72576867
itemsitems17skuName,*DWA-6X60
itemsitems17skuCode,*DWA-6X60
itemsitems17skuType,Material
itemsitems17description,PIPE GALV 6"x60" 30 ga HEATING & COOLING (10)
itemsitems17vendorPartNumber,
itemsitems17quantity,30
itemsitems17quantityReceived,30
itemsitems17cost,7.39
itemsitems17total,221.7
itemsitems17serialNumbers,null
itemsitems17status,Received
itemsitems17chargeable,false
itemsitems18id,80706367
itemsitems18skuId,72576873
itemsitems18skuName,*DWA-6X90
itemsitems18skuCode,*DWA-6X90
itemsitems18skuType,Material
itemsitems18description,ELBOW GALV 6" 30 ga HEATING & COOLING 90 DEG (20)
itemsitems18vendorPartNumber,
itemsitems18quantity,20
itemsitems18quantityReceived,20
itemsitems18cost,2.45
itemsitems18total,49
itemsitems18serialNumbers,null
itemsitems18status,Received
itemsitems18chargeable,false
itemsitems19id,80706368
itemsitems19skuId,72576879
itemsitems19skuName,*DWA-7X60
itemsitems19skuCode,*DWA-7X60
itemsitems19skuType,Material
itemsitems19description,PIPE GALV 7"X60" 30 ga HEATING & COOLING (10)
itemsitems19vendorPartNumber,
itemsitems19quantity,1
itemsitems19quantityReceived,1
itemsitems19cost,10.87
itemsitems19total,10.87
