id,80244099
createdOn,2023-08-01T14:39:10.9974067Z
createdById,53914120
modifiedOn,2023-08-02T13:47:33.9792057Z
followUpOn,0001-01-01T00:00:00Z
cancellationDate,null
from,2023-08-01T00:00:00Z
nextScheduledBillDate,null
to,2024-08-04T00:00:00Z
billingFrequency,OneTime
renewalBillingFrequency,null
status,Active
followUpStatus,NotAttempted
active,true
initialDeferredRevenue,0
duration,12
renewalDuration,null
businessUnitId,1034883
customerId,53606465
membershipTypeId,1035112
activatedById,53914120
activatedFromId,80244098
billingTemplateId,null
cancellationBalanceInvoiceId,null
cancellationInvoiceId,null
followUpCustomStatusId,null
locationId,53606467
paymentMethodId,null
paymentTypeId,null
recurringLocationId,53606467
renewalMembershipTaskId,1896298
renewedById,null
soldById,53914120
customerPo,null
importId,null
memo,null
